"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","date"
"FICO","Fair Isaac","Information Technology","Application Software","Bozeman, Montana","2023-03-20","0000814547","1956",,,,,,,,,,2024-02-05
"FAST","Fastenal","Industrials","Trading Companies & Distributors","Winona, Minnesota","2008-09-15","0000815556","1967",,,,,,,,,,2024-02-05
"FRT","Federal Realty","Real Estate","Retail REITs","Rockville, Maryland","2016-02-01","0000034903","1962",,,,,,,,,,2024-02-05
"FDX","FedEx","Industrials","Air Freight & Logistics","Memphis, Tennessee","1980-12-31","0001048911","1971",,,,,,,,,,2024-02-05
"FIS","Fidelity National Information Services","Financials","Transaction & Payment Processing Services","Jacksonville, Florida","2006-11-10","0001136893","1968",,,,,,,,,,2024-02-05
"FITB","Fifth Third Bank","Financials","Diversified Banks","Cincinnati, Ohio","1996-03-29","0000035527","1858",,,,,,,,,,2024-02-05
"FSLR","First Solar","Information Technology","Semiconductors","Tempe, Arizona","2022-12-19","0001274494","1999",,,,,,,,,,2024-02-05
"FE","FirstEnergy","Utilities","Electric Utilities","Akron, Ohio","1997-11-28","0001031296","1997",,,,,,,,,,2024-02-05
"FI","Fiserv","Financials","Transaction & Payment Processing Services","Brookfield, Wisconsin","2001-04-02","0000798354","1984",,,,,,,,,,2024-02-05
"FLT","Fleetcor","Financials","Transaction & Payment Processing Services","Atlanta, Georgia","2018-06-20","0001175454","2000",,,,,,,,,,2024-02-05
"FMC","FMC Corporation","Materials","Fertilizers & Agricultural Chemicals","Philadelphia, Pennsylvania","2009-08-19","0000037785","1883",,,,,,,,,,2024-02-05
"F","Ford Motor Company","Consumer Discretionary","Automobile Manufacturers","Dearborn, Michigan","1957-03-04","0000037996","1903",,,,,,,,,,2024-02-05
"FTNT","Fortinet","Information Technology","Systems Software","Sunnyvale, California","2018-10-11","0001262039","2000",,,,,,,,,,2024-02-05
"FTV","Fortive","Industrials","Industrial Machinery & Supplies & Components","Everett, Washington","2016-07-01","0001659166","2016",,,,,,,,,,2024-02-05
"FOXA","Fox Corporation (Class A)","Communication Services","Broadcasting","New York City, New York","2019-03-04","0001754301","2019",,,,,,,,,,2024-02-05
"FOX","Fox Corporation (Class B)","Communication Services","Broadcasting","New York City, New York","2019-03-04","0001754301","2019",,,,,,,,,,2024-02-05
"BEN","Franklin Templeton","Financials","Asset Management & Custody Banks","San Mateo, California","1998-04-30","0000038777","1947",,,,,,,,,,2024-02-05
"FCX","Freeport-McMoRan","Materials","Copper","Phoenix, Arizona","2011-07-01","0000831259","1912",,,,,,,,,,2024-02-05
"GRMN","Garmin","Consumer Discretionary","Consumer Electronics","Schaffhausen, Switzerland","2012-12-12","0001121788","1989",,,,,,,,,,2024-02-05
"IT","Gartner","Information Technology","IT Consulting & Other Services","Stamford, Connecticut","2017-04-05","0000749251","1979",,,,,,,,,,2024-02-05
"GEHC","GE HealthCare","Health Care","Health Care Equipment","Chicago, Illinois","2023-01-04","0001932393","1994",,,,,,,,,,2024-02-05
"GEN","Gen Digital","Information Technology","Systems Software","Tempe, Arizona","2003-03-25","0000849399","1982",,,,,,,,,,2024-02-05
"GNRC","Generac","Industrials","Electrical Components & Equipment","Waukesha, Wisconsin","2021-03-22","0001474735","1959",,,,,,,,,,2024-02-05
"GD","General Dynamics","Industrials","Aerospace & Defense","Falls Church, Virginia","1957-03-04","0000040533","1899",,,,,,,,,,2024-02-05
"GE","General Electric","Industrials","Industrial Conglomerates","Boston, Massachusetts","1957-03-04","0000040545","1892",,,,,,,,,,2024-02-05
"GIS","General Mills","Consumer Staples","Packaged Foods & Meats","Golden Valley, Minnesota","1957-03-04","0000040704","1856",,,,,,,,,,2024-02-05
"GM","General Motors","Consumer Discretionary","Automobile Manufacturers","Detroit, Michigan","2013-06-06","0001467858","1908",,,,,,,,,,2024-02-05
"GPC","Genuine Parts Company","Consumer Discretionary","Distributors","Atlanta, Georgia","1973-12-31","0000040987","1925",,,,,,,,,,2024-02-05
"GILD","Gilead Sciences","Health Care","Biotechnology","Foster City, California","2004-07-01","0000882095","1987",,,,,,,,,,2024-02-05
"GPN","Global Payments","Financials","Transaction & Payment Processing Services","Atlanta, Georgia","2016-04-25","0001123360","2000",,,,,,,,,,2024-02-05
"GL","Globe Life","Financials","Life & Health Insurance","McKinney, Texas","1989-04-30","0000320335","1900",,,,,,,,,,2024-02-05
"GS","Goldman Sachs","Financials","Investment Banking & Brokerage","New York City, New York","2002-07-22","0000886982","1869",,,,,,,,,,2024-02-05
"HAL","Halliburton","Energy","Oil & Gas Equipment & Services","Houston, Texas","1957-03-04","0000045012","1919",,,,,,,,,,2024-02-05
"HIG","Hartford (The)","Financials","Property & Casualty Insurance","Hartford, Connecticut","1957-03-04","0000874766","1810",,,,,,,,,,2024-02-05
"HAS","Hasbro","Consumer Discretionary","Leisure Products","Pawtucket, Rhode Island","1984-09-30","0000046080","1923",,,,,,,,,,2024-02-05
"HCA","HCA Healthcare","Health Care","Health Care Facilities","Nashville, Tennessee","2015-01-27","0000860730","1968",,,,,,,,,,2024-02-05
"PEAK","Healthpeak","Real Estate","Health Care REITs","Long Beach, California","2008-03-31","0000765880","1985",,,,,,,,,,2024-02-05
"HSIC","Henry Schein","Health Care","Health Care Distributors","Melville, New York","2015-03-17","0001000228","1932",,,,,,,,,,2024-02-05
"HSY","Hershey's","Consumer Staples","Packaged Foods & Meats","Hershey, Pennsylvania","1957-03-04","0000047111","1894",,,,,,,,,,2024-02-05
"HES","Hess Corporation","Energy","Integrated Oil & Gas","New York City, New York","1984-05-31","0000004447","1919",,,,,,,,,,2024-02-05
"HPE","Hewlett Packard Enterprise","Information Technology","Technology Hardware, Storage & Peripherals","Houston, Texas","2015-11-02","0001645590","2015",,,,,,,,,,2024-02-05
"HLT","Hilton Worldwide","Consumer Discretionary","Hotels, Resorts & Cruise Lines","Tysons Corner, Virginia","2017-06-19","0001585689","1919",,,,,,,,,,2024-02-05
"HOLX","Hologic","Health Care","Health Care Equipment","Marlborough, Massachusetts","2016-03-30","0000859737","1985",,,,,,,,,,2024-02-05
"HD","Home Depot (The)","Consumer Discretionary","Home Improvement Retail","Atlanta, Georgia","1988-03-31","0000354950","1978",,,,,,,,,,2024-02-05
"HON","Honeywell","Industrials","Industrial Conglomerates","Charlotte, North Carolina","1957-03-04","0000773840","1906",,,,,,,,,,2024-02-05
"HRL","Hormel Foods","Consumer Staples","Packaged Foods & Meats","Austin, Minnesota","2009-03-04","0000048465","1891",,,,,,,,,,2024-02-05
"HST","Host Hotels & Resorts","Real Estate","Hotel & Resort REITs","Bethesda, Maryland","2007-03-20","0001070750","1993",,,,,,,,,,2024-02-05
"HWM","Howmet Aerospace","Industrials","Aerospace & Defense","Pittsburgh, Pennsylvania","2016-10-21","0000004281","1888",,,,,,,,,,2024-02-05
"HPQ","HP Inc.","Information Technology","Technology Hardware, Storage & Peripherals","Palo Alto, California","1974-12-31","0000047217","1939 (2015)",,,,,,,,,,2024-02-05
"HUBB","Hubbell Incorporated","Industrials","Industrial Machinery & Supplies & Components","Shelton, Connecticut","2023-10-18","0000048898","1888",,,,,,,,,,2024-02-05
"HUM","Humana","Health Care","Managed Health Care","Louisville, Kentucky","2012-12-10","0000049071","1961",,,,,,,,,,2024-02-05
"HBAN","Huntington Bancshares","Financials","Regional Banks","Columbus, Ohio; Detroit, Michigan","1997-08-28","0000049196","1866",,,,,,,,,,2024-02-05
"HII","Huntington Ingalls Industries","Industrials","Aerospace & Defense","Newport News, Virginia","2018-01-03","0001501585","2011",,,,,,,,,,2024-02-05
"IBM","IBM","Information Technology","IT Consulting & Other Services","Armonk, New York","1957-03-04","0000051143","1911",,,,,,,,,,2024-02-05
"IEX","IDEX Corporation","Industrials","Industrial Machinery & Supplies & Components","Lake Forest, Illinois","2019-08-09","0000832101","1988",,,,,,,,,,2024-02-05
"IDXX","Idexx Laboratories","Health Care","Health Care Equipment","Westbrook, Maine","2017-01-05","0000874716","1983",,,,,,,,,,2024-02-05
"ITW","Illinois Tool Works","Industrials","Industrial Machinery & Supplies & Components","Glenview, Illinois","1986-02-28","0000049826","1912",,,,,,,,,,2024-02-05
"ILMN","Illumina","Health Care","Life Sciences Tools & Services","San Diego, California","2015-11-19","0001110803","1998",,,,,,,,,,2024-02-05
"INCY","Incyte","Health Care","Biotechnology","Wilmington, Delaware","2017-02-28","0000879169","1991",,,,,,,,,,2024-02-05
"IR","Ingersoll Rand","Industrials","Industrial Machinery & Supplies & Components","Davidson, North Carolina","2020-03-03","0001699150","1859",,,,,,,,,,2024-02-05
"PODD","Insulet","Health Care","Health Care Equipment","Acton, Massachusetts","2023-03-15","0001145197","2000",,,,,,,,,,2024-02-05
"INTC","Intel","Information Technology","Semiconductors","Santa Clara, California","1976-12-31","0000050863","1968",,,,,,,,,,2024-02-05
"ICE","Intercontinental Exchange","Financials","Financial Exchanges & Data","Atlanta, Georgia","2007-09-26","0001571949","2000",,,,,,,,,,2024-02-05
"IFF","International Flavors & Fragrances","Materials","Specialty Chemicals","New York City, New York","1976-03-31","0000051253","1958 (1889)",,,,,,,,,,2024-02-05
"IP","International Paper","Materials","Paper & Plastic Packaging Products & Materials","Memphis, Tennessee","1957-03-04","0000051434","1898",,,,,,,,,,2024-02-05
"IPG","Interpublic Group of Companies (The)","Communication Services","Advertising","New York City, New York","1992-10-01","0000051644","1961 (1930)",,,,,,,,,,2024-02-05
"INTU","Intuit","Information Technology","Application Software","Mountain View, California","2000-12-05","0000896878","1983",,,,,,,,,,2024-02-05
"ISRG","Intuitive Surgical","Health Care","Health Care Equipment","Sunnyvale, California","2008-06-02","0001035267","1995",,,,,,,,,,2024-02-05
"IVZ","Invesco","Financials","Asset Management & Custody Banks","Atlanta, Georgia","2008-08-21","0000914208","1935",,,,,,,,,,2024-02-05
"INVH","Invitation Homes","Real Estate","Single-Family Residential REITs","Dallas, Texas","2022-09-19","0001687229","2012",,,,,,,,,,2024-02-05
"IQV","IQVIA","Health Care","Life Sciences Tools & Services","Durham, North Carolina","2017-08-29","0001478242","1982",,,,,,,,,,2024-02-05
"IRM","Iron Mountain","Real Estate","Other Specialized REITs","Boston, Massachusetts","2009-01-06","0001020569","1951",,,,,,,,,,2024-02-05
"JBHT","J.B. Hunt","Industrials","Cargo Ground Transportation","Lowell, Arkansas","2015-07-01","0000728535","1961",,,,,,,,,,2024-02-05
"JBL","Jabil","Information Technology","Electronic Manufacturing Services","St. Petersburg, Florida","2023-12-18","0000898293","1966",,,,,,,,,,2024-02-05
"JKHY","Jack Henry & Associates","Financials","Transaction & Payment Processing Services","Monett, Missouri","2018-11-13","0000779152","1976",,,,,,,,,,2024-02-05
"J","Jacobs Solutions","Industrials","Construction & Engineering","Dallas, Texas","2007-10-26","0000052988","1947",,,,,,,,,,2024-02-05
"JNJ","Johnson & Johnson","Health Care","Pharmaceuticals","New Brunswick, New Jersey","1973-06-30","0000200406","1886",,,,,,,,,,2024-02-05
"JCI","Johnson Controls","Industrials","Building Products","Cork, Ireland","2010-08-27","0000833444","1885",,,,,,,,,,2024-02-05
"JPM","JPMorgan Chase","Financials","Diversified Banks","New York City, New York","1975-06-30","0000019617","2000 (1799 / 1871)",,,,,,,,,,2024-02-05
"JNPR","Juniper Networks","Information Technology","Communications Equipment","Sunnyvale, California","2006-06-02","0001043604","1996",,,,,,,,,,2024-02-05
"K","Kellanova","Consumer Staples","Packaged Foods & Meats","Chicago, Illinois","1989-09-11","0000055067","1906",,,,,,,,,,2024-02-05
"KVUE","Kenvue","Consumer Staples","Personal Care Products","Skillman, New Jersey","2023-08-25","0001944048","2022 (Johnson & Johnson spinoff)",,,,,,,,,,2024-02-05
"KDP","Keurig Dr Pepper","Consumer Staples","Soft Drinks & Non-alcoholic Beverages","Burlington, Massachusetts","2022-06-21","0001418135","1981",,,,,,,,,,2024-02-05
"KEY","KeyCorp","Financials","Regional Banks","Cleveland, Ohio","1994-03-01","0000091576","1825",,,,,,,,,,2024-02-05
"KEYS","Keysight","Information Technology","Electronic Equipment & Instruments","Santa Rosa, California","2018-11-06","0001601046","2014 (1939)",,,,,,,,,,2024-02-05
"KMB","Kimberly-Clark","Consumer Staples","Household Products","Irving, Texas","1957-03-04","0000055785","1872",,,,,,,,,,2024-02-05
"KIM","Kimco Realty","Real Estate","Retail REITs","New Hyde Park, New York","2006-04-04","0000879101","1958",,,,,,,,,,2024-02-05
"KMI","Kinder Morgan","Energy","Oil & Gas Storage & Transportation","Houston, Texas","2012-05-25","0001506307","1997",,,,,,,,,,2024-02-05
"KLAC","KLA Corporation","Information Technology","Semiconductor Materials & Equipment","Milpitas, California","1997-09-30","0000319201","1975/1977 (1997)",,,,,,,,,,2024-02-05
"KHC","Kraft Heinz","Consumer Staples","Packaged Foods & Meats","Chicago, Illinois; Pittsburgh, Pennsylvania","2015-07-06","0001637459","2015 (1869)",,,,,,,,,,2024-02-05
"KR","Kroger","Consumer Staples","Food Retail","Cincinnati, Ohio","1957-03-04","0000056873","1883",,,,,,,,,,2024-02-05
"LHX","L3Harris","Industrials","Aerospace & Defense","Melbourne, Florida","2008-09-22","0000202058","2019 (L3 1997, Harris 1895)",,,,,,,,,,2024-02-05
"LH","LabCorp","Health Care","Health Care Services","Burlington, North Carolina","2004-11-01","0000920148","1978",,,,,,,,,,2024-02-05
"LRCX","Lam Research","Information Technology","Semiconductor Materials & Equipment","Fremont, California","2012-06-29","0000707549","1980",,,,,,,,,,2024-02-05
"LW","Lamb Weston","Consumer Staples","Packaged Foods & Meats","Eagle, Idaho","2018-12-03","0001679273","2016 (1950)",,,,,,,,,,2024-02-05
"LVS","Las Vegas Sands","Consumer Discretionary","Casinos & Gaming","Las Vegas, Nevada","2019-10-03","0001300514","1988",,,,,,,,,,2024-02-05
"LDOS","Leidos","Industrials","Diversified Support Services","Reston, Virginia","2019-08-09","0001336920","1969",,,,,,,,,,2024-02-05
"LEN","Lennar","Consumer Discretionary","Homebuilding","Miami, Florida","2005-10-04","0000920760","1954",,,,,,,,,,2024-02-05
"LIN","Linde plc","Materials","Industrial Gases","Guildford, United Kingdom","1992-07-01","0001707925","1879",,,,,,,,,,2024-02-05
"LYV","Live Nation Entertainment","Communication Services","Movies & Entertainment","Beverly Hills, California","2019-12-23","0001335258","2010",,,,,,,,,,2024-02-05
"LKQ","LKQ Corporation","Consumer Discretionary","Distributors","Chicago, Illinois","2016-05-23","0001065696","1998",,,,,,,,,,2024-02-05
"LMT","Lockheed Martin","Industrials","Aerospace & Defense","Bethesda, Maryland","1957-03-04","0000936468","1995",,,,,,,,,,2024-02-05
"L","Loews Corporation","Financials","Multi-line Insurance","New York City, New York","1995-05-31","0000060086","1959",,,,,,,,,,2024-02-05
"LOW","Lowe's","Consumer Discretionary","Home Improvement Retail","Mooresville, North Carolina","1984-02-29","0000060667","1904/1946/1959",,,,,,,,,,2024-02-05
"LULU","Lululemon Athletica","Consumer Discretionary","Apparel, Accessories & Luxury Goods","Vancouver, Canada","2023-10-18","0001397187","1998",,,,,,,,,,2024-02-05
"LYB","LyondellBasell","Materials","Specialty Chemicals","Rotterdam, Netherlands","2012-09-05","0001489393","2007",,,,,,,,,,2024-02-05
"MTB","M&T Bank","Financials","Regional Banks","Buffalo, New York","2004-02-23","0000036270","1856",,,,,,,,,,2024-02-05
"MRO","Marathon Oil","Energy","Oil & Gas Exploration & Production","Houston, Texas","1957-03-04","0000101778","1887",,,,,,,,,,2024-02-05
"MPC","Marathon Petroleum","Energy","Oil & Gas Refining & Marketing","Findlay, Ohio","2011-07-01","0001510295","2009 (1887)",,,,,,,,,,2024-02-05
"MKTX","MarketAxess","Financials","Financial Exchanges & Data","New York City, New York","2019-07-01","0001278021","2000",,,,,,,,,,2024-02-05
"MAR","Marriott International","Consumer Discretionary","Hotels, Resorts & Cruise Lines","Bethesda, Maryland","1998-05-29","0001048286","1927",,,,,,,,,,2024-02-05
"MMC","Marsh McLennan","Financials","Insurance Brokers","New York City, New York","1987-08-31","0000062709","1905",,,,,,,,,,2024-02-05
"MLM","Martin Marietta Materials","Materials","Construction Materials","Raleigh, North Carolina","2014-07-02","0000916076","1993",,,,,,,,,,2024-02-05
"MAS","Masco","Industrials","Building Products","Livonia, Michigan","1981-06-30","0000062996","1929",,,,,,,,,,2024-02-05
"MA","Mastercard","Financials","Transaction & Payment Processing Services","Harrison, New York","2008-07-18","0001141391","1966",,,,,,,,,,2024-02-05
"MTCH","Match Group","Communication Services","Interactive Media & Services","Dallas, Texas","2021-09-20","0000891103","1986",,,,,,,,,,2024-02-05
"MKC","McCormick & Company","Consumer Staples","Packaged Foods & Meats","Hunt Valley, Maryland","2003-03-20","0000063754","1889",,,,,,,,,,2024-02-05
"MCD","McDonald's","Consumer Discretionary","Restaurants","Chicago, Illinois","1970-06-30","0000063908","1940",,,,,,,,,,2024-02-05
"MCK","McKesson","Health Care","Health Care Distributors","Irving, Texas","1999-01-13","0000927653","1833",,,,,,,,,,2024-02-05
"MDT","Medtronic","Health Care","Health Care Equipment","Dublin, Ireland","1986-10-31","0001613103","1949",,,,,,,,,,2024-02-05
"MRK","Merck & Co.","Health Care","Pharmaceuticals","Kenilworth, New Jersey","1957-03-04","0000310158","1891",,,,,,,,,,2024-02-05
"META","Meta Platforms","Communication Services","Interactive Media & Services","Menlo Park, California","2013-12-23","0001326801","2004",,,,,,,,,,2024-02-05
"MET","MetLife","Financials","Life & Health Insurance","New York City, New York","2000-12-11","0001099219","1868",,,,,,,,,,2024-02-05
"MTD","Mettler Toledo","Health Care","Life Sciences Tools & Services","Columbus, Ohio","2016-09-06","0001037646","1945",,,,,,,,,,2024-02-05
"MGM","MGM Resorts","Consumer Discretionary","Casinos & Gaming","Paradise, Nevada","2017-07-26","0000789570","1986",,,,,,,,,,2024-02-05
"MCHP","Microchip Technology","Information Technology","Semiconductors","Chandler, Arizona","2007-09-07","0000827054","1989",,,,,,,,,,2024-02-05
"MU","Micron Technology","Information Technology","Semiconductors","Boise, Idaho","1994-09-27","0000723125","1978",,,,,,,,,,2024-02-05
"MSFT","Microsoft","Information Technology","Systems Software","Redmond, Washington","1994-06-01","0000789019","1975",,,,,,,,,,2024-02-05
"MAA","Mid-America Apartment Communities","Real Estate","Multi-Family Residential REITs","Memphis, Tennessee","2016-12-02","0000912595","1977",,,,,,,,,,2024-02-05
"MRNA","Moderna","Health Care","Biotechnology","Cambridge, Massachusetts","2021-07-21","0001682852","2010",,,,,,,,,,2024-02-05
"MHK","Mohawk Industries","Consumer Discretionary","Home Furnishings","Calhoun, Georgia","2013-12-23","0000851968","1878",,,,,,,,,,2024-02-05
"MOH","Molina Healthcare","Health Care","Managed Health Care","Long Beach, California","2022-03-02","0001179929","1980",,,,,,,,,,2024-02-05
"TAP","Molson Coors Beverage Company","Consumer Staples","Brewers","Chicago, Illinois","1976-06-30","0000024545","2005 (Molson 1786, Coors 1873)",,,,,,,,,,2024-02-05
"MDLZ","Mondelez International","Consumer Staples","Packaged Foods & Meats","Chicago, Illinois","2012-10-02","0001103982","2012",,,,,,,,,,2024-02-05
"MPWR","Monolithic Power Systems","Information Technology","Semiconductors","Kirkland, Washington","2021-02-12","0001280452","1997",,,,,,,,,,2024-02-05
"MNST","Monster Beverage","Consumer Staples","Soft Drinks & Non-alcoholic Beverages","Corona, California","2012-06-28","0000865752","2012 (1935)",,,,,,,,,,2024-02-05
"MCO","Moody's Corporation","Financials","Financial Exchanges & Data","New York City, New York","1998-07-01","0001059556","1909",,,,,,,,,,2024-02-05
"MS","Morgan Stanley","Financials","Investment Banking & Brokerage","New York City, New York","1993-07-29","0000895421","1935",,,,,,,,,,2024-02-05
"MOS","Mosaic Company (The)","Materials","Fertilizers & Agricultural Chemicals","Tampa, Florida","2011-09-26","0001285785","2004 (1865 / 1909)",,,,,,,,,,2024-02-05
"MSI","Motorola Solutions","Information Technology","Communications Equipment","Chicago, Illinois","1957-03-04","0000068505","1928 (2011)",,,,,,,,,,2024-02-05
"MSCI","MSCI","Financials","Financial Exchanges & Data","New York City, New York","2018-04-04","0001408198","1969",,,,,,,,,,2024-02-05
"NDAQ","Nasdaq, Inc.","Financials","Financial Exchanges & Data","New York City, New York","2008-10-22","0001120193","1971",,,,,,,,,,2024-02-05
"NTAP","NetApp","Information Technology","Technology Hardware, Storage & Peripherals","San Jose, California","1999-06-25","0001002047","1992",,,,,,,,,,2024-02-05
"NFLX","Netflix","Communication Services","Movies & Entertainment","Los Gatos, California","2010-12-20","0001065280","1997",,,,,,,,,,2024-02-05
"NEM","Newmont","Materials","Gold","Denver, Colorado","1969-06-30","0001164727","1921",,,,,,,,,,2024-02-05
"NWSA","News Corp (Class A)","Communication Services","Publishing","New York City, New York","2013-08-01","0001564708","2013 (News Corporation 1980)",,,,,,,,,,2024-02-05
"NWS","News Corp (Class B)","Communication Services","Publishing","New York City, New York","2015-09-18","0001564708","2013 (News Corporation 1980)",,,,,,,,,,2024-02-05
"NEE","NextEra Energy","Utilities","Multi-Utilities","Juno Beach, Florida","1976-06-30","0000753308","1984 (1925)",,,,,,,,,,2024-02-05
"NKE","Nike, Inc.","Consumer Discretionary","Apparel, Accessories & Luxury Goods","Washington County, Oregon","1988-11-30","0000320187","1964",,,,,,,,,,2024-02-05
"NI","NiSource","Utilities","Multi-Utilities","Merrillville, Indiana","2000-11-02","0001111711","1912",,,,,,,,,,2024-02-05
"NDSN","Nordson Corporation","Industrials","Industrial Machinery & Supplies & Components","Westlake, Ohio","2022-02-15","0000072331","1935",,,,,,,,,,2024-02-05
"NSC","Norfolk Southern Railway","Industrials","Rail Transportation","Atlanta, Georgia","1957-03-04","0000702165","1881/1894 (1980)",,,,,,,,,,2024-02-05
"NTRS","Northern Trust","Financials","Asset Management & Custody Banks","Chicago, Illinois","1998-01-30","0000073124","1889",,,,,,,,,,2024-02-05
"NOC","Northrop Grumman","Industrials","Aerospace & Defense","West Falls Church, Virginia","1957-03-04","0001133421","1994 (Northrop 1939, Grumman 1930)",,,,,,,,,,2024-02-05
"NCLH","Norwegian Cruise Line Holdings","Consumer Discretionary","Hotels, Resorts & Cruise Lines","Miami, Florida","2017-10-13","0001513761","2011 (1966)",,,,,,,,,,2024-02-05
"NRG","NRG Energy","Utilities","Independent Power Producers & Energy Traders","Houston, Texas","2010-01-29","0001013871","1992",,,,,,,,,,2024-02-05
"NUE","Nucor","Materials","Steel","Charlotte, North Carolina","1985-04-30","0000073309","1940",,,,,,,,,,2024-02-05
"NVDA","Nvidia","Information Technology","Semiconductors","Santa Clara, California","2001-11-30","0001045810","1993",,,,,,,,,,2024-02-05
"NVR","NVR, Inc.","Consumer Discretionary","Homebuilding","Reston, Virginia","2019-09-26","0000906163","1980",,,,,,,,,,2024-02-05
"NXPI","NXP Semiconductors","Information Technology","Semiconductors","Eindhoven, Netherlands","2021-03-22","0001413447","1953",,,,,,,,,,2024-02-05
"ORLY","O'Reilly Auto Parts","Consumer Discretionary","Automotive Retail","Springfield, Missouri","2009-03-27","0000898173","1957",,,,,,,,,,2024-02-05
"OXY","Occidental Petroleum","Energy","Oil & Gas Exploration & Production","Houston, Texas","1957-03-04","0000797468","1920",,,,,,,,,,2024-02-05
"ODFL","Old Dominion","Industrials","Cargo Ground Transportation","Thomasville, North Carolina","2019-12-09","0000878927","1934",,,,,,,,,,2024-02-05
"OMC","Omnicom Group","Communication Services","Advertising","New York City, New York","1997-12-31","0000029989","1986",,,,,,,,,,2024-02-05
"ON","ON Semiconductor","Information Technology","Semiconductors","Phoenix, Arizona","2022-06-21","0001097864","1999",,,,,,,,,,2024-02-05
"OKE","ONEOK","Energy","Oil & Gas Storage & Transportation","Tulsa, Oklahoma","2010-03-15","0001039684","1906",,,,,,,,,,2024-02-05
"ORCL","Oracle Corporation","Information Technology","Application Software","Austin, Texas","1989-08-31","0001341439","1977",,,,,,,,,,2024-02-05
"OTIS","Otis Worldwide","Industrials","Industrial Machinery & Supplies & Components","Farmington, Connecticut","2020-04-03","0001781335","2020 (1853, United Technologies spinoff)",,,,,,,,,,2024-02-05
"PCAR","Paccar","Industrials","Construction Machinery & Heavy Transportation Equipment","Bellevue, Washington","1980-12-31","0000075362","1905",,,,,,,,,,2024-02-05
"PKG","Packaging Corporation of America","Materials","Paper & Plastic Packaging Products & Materials","Lake Forest, Illinois","2017-07-26","0000075677","1959",,,,,,,,,,2024-02-05
"PANW","Palo Alto Networks","Information Technology","Systems Software","Santa Clara, California","2023-06-20","0001327567","2005",,,,,,,,,,2024-02-05
"PARA","Paramount Global","Communication Services","Movies & Entertainment","New York City, New York","1994-09-30","0000813828","2019 (Paramount Pictures 1912)",,,,,,,,,,2024-02-05
"PH","Parker Hannifin","Industrials","Industrial Machinery & Supplies & Components","Cleveland, Ohio","1985-11-30","0000076334","1917",,,,,,,,,,2024-02-05
"PAYX","Paychex","Industrials","Human Resource & Employment Services","Penfield, New York","1998-10-01","0000723531","1971",,,,,,,,,,2024-02-05
"PAYC","Paycom","Industrials","Human Resource & Employment Services","Oklahoma City, Oklahoma","2020-01-28","0001590955","1998",,,,,,,,,,2024-02-05
"PYPL","PayPal","Financials","Transaction & Payment Processing Services","San Jose, California","2015-07-20","0001633917","1998",,,,,,,,,,2024-02-05
"PNR","Pentair","Industrials","Industrial Machinery & Supplies & Components","Worsley, United Kingdom","2012-10-01","0000077360","1966",,,,,,,,,,2024-02-05
"PEP","PepsiCo","Consumer Staples","Soft Drinks & Non-alcoholic Beverages","Purchase, New York","1957-03-04","0000077476","1898",,,,,,,,,,2024-02-05
"PFE","Pfizer","Health Care","Pharmaceuticals","New York City, New York","1957-03-04","0000078003","1849",,,,,,,,,,2024-02-05
"PCG","PG&E Corporation","Utilities","Multi-Utilities","San Francisco, California","2022-10-03","0001004980","1905",,,,,,,,,,2024-02-05
"PM","Philip Morris International","Consumer Staples","Tobacco","New York City, New York","2008-03-31","0001413329","2008 (1847)",,,,,,,,,,2024-02-05
"PSX","Phillips 66","Energy","Oil & Gas Refining & Marketing","Houston, Texas","2012-05-01","0001534701","2012 (1917)",,,,,,,,,,2024-02-05
"PNW","Pinnacle West","Utilities","Multi-Utilities","Phoenix, Arizona","1999-10-04","0000764622","1985",,,,,,,,,,2024-02-05
"PXD","Pioneer Natural Resources","Energy","Oil & Gas Exploration & Production","Irving, Texas","2008-09-24","0001038357","1997",,,,,,,,,,2024-02-05
"PNC","PNC Financial Services","Financials","Regional Banks","Pittsburgh, Pennsylvania","1988-04-30","0000713676","1845",,,,,,,,,,2024-02-05
"POOL","Pool Corporation","Consumer Discretionary","Distributors","Covington, Louisiana","2020-10-07","0000945841","1993",,,,,,,,,,2024-02-05
"PPG","PPG Industries","Materials","Specialty Chemicals","Pittsburgh, Pennsylvania","1957-03-04","0000079879","1883",,,,,,,,,,2024-02-05
"PPL","PPL Corporation","Utilities","Electric Utilities","Allentown, Pennsylvania","2001-10-01","0000922224","1920",,,,,,,,,,2024-02-05
"PFG","Principal Financial Group","Financials","Life & Health Insurance","Des Moines, Iowa","2002-07-22","0001126328","1879",,,,,,,,,,2024-02-05
"PG","Procter & Gamble","Consumer Staples","Personal Care Products","Cincinnati, Ohio","1957-03-04","0000080424","1837",,,,,,,,,,2024-02-05
"PGR","Progressive Corporation","Financials","Property & Casualty Insurance","Mayfield Village, Ohio","1997-08-04","0000080661","1937",,,,,,,,,,2024-02-05
"PLD","Prologis","Real Estate","Industrial REITs","San Francisco, California","2003-07-17","0001045609","1983",,,,,,,,,,2024-02-05
"PRU","Prudential Financial","Financials","Life & Health Insurance","Newark, New Jersey","2002-07-22","0001137774","1875",,,,,,,,,,2024-02-05
"PEG","Public Service Enterprise Group","Utilities","Electric Utilities","Newark, New Jersey","1957-03-04","0000788784","1903",,,,,,,,,,2024-02-05
